tic_id,pl_name,hostname,pl_orbper,pl_trandur,pl_trandep,pl_tranmid,pl_rade,st_rad,ra,dec,sy_dist,sy_tmag
TIC 395393265,TOI-2152 A b,TOI-2152,3.3773512,3.715,0.666,2458927.6498,14.35870428,1.612,26.3389717,77.7901231,303.006,10.7053
TIC 399822422,Kepler-205 b,Kepler-205,2.75564,1.948,0.05464,2455003.84454,1.51,0.546,285.2866912,41.8609357,159.72,12.721
TIC 411608801,WASP-186 b,WASP-186,5.026799,2.704,0.61,2456237.1195,12.44199,1.47,18.9953122,21.6169065,278.514,10.3002
TIC 414843476,K2-107 b,K2-107,3.313959,3.2232,0.6658,2457311.15178,15.98,1.81,284.985355,-22.2934206,685.2,12.2834
TIC 417676990,Kepler-1319 b,Kepler-1319,2.886762645,0.885,0.06318,2454964.66581,1.34,0.54,290.9564463,49.3667933,103.917,13.0621
TIC 422685031,K2-407 b,K2-407,4.941907,2.9,,2457993.5101,1.283,0.927,232.5552584,-23.0067371,218.376,11.4565
TIC 435339847,K2-77 b,K2-77,8.2000844,2.544,0.0831,2457316.80766,2.4996027,0.792,55.228521,12.572448,141.731,11.2867
TIC 437333618,HATS-25 b,HATS-25,4.2986432,3.204,1.52757585,2456870.36872,14.12334,1.107,207.9076746,-23.7812403,471.158,12.472
TIC 455784423,TOI-3629 b,TOI-3629,3.936551,2.2,1.5461,2458784.256,8.29464572,0.6,359.7933851,39.3142556,130.091,12.7882
TIC 458419328,TOI-3785 b,TOI-3785,4.6747373,1.7,0.9254,2458861.49553,5.14,0.5,130.9002258,63.0780768,79.7634,12.4963
TIC 458478250,KELT-23 A b,KELT-23 A,2.255251,2.38104,1.864,2458140.3792,14.829507,0.996,232.1466406,66.3587097,126.261,9.76703
TIC 459762279,TOI-5573 b,TOI-5573,8.79758977,2.76,2.309,2459600.45078,9.75,0.594,136.4259999,55.3071309,186.562,13.6281
TIC 48450369,Kepler-408 b,Kepler-408,2.46502,1.231,0.00306,2454965.67928,0.82,1.23,284.7862158,48.4232622,88.7832,8.327
TIC 51637609,WASP-102 b,WASP-102,2.709813,3.282,0.9949,2457109.45577,14.90794433,1.375,336.4643016,15.8566392,535.689,12.1088
TIC 52689469,HATS-66 b,HATS-66,3.1414391,4.5432,0.54330349,2457603.0514,15.815899,1.841,101.3948048,-33.8816918,1477.98,13.6373
TIC 63282889,Kepler-1825 b,Kepler-1825,1.025869966,0.8069,0.02707,2454964.65551,1.42200732,0.847,292.5140647,42.6517554,430.254,13.7731
TIC 63283780,Kepler-210 b,Kepler-210,2.453234,1.746,0.17519,2455003.89153,2.94,0.65,292.5034196,43.0832188,232.75,13.0702
TIC 67666096,KELT-3 b,KELT-3,2.70339,3.1512,0.89,2458872.854373,17.48604,1.7,148.6431193,40.3879446,210.252,9.43351
TIC 69356857,TOI-5232 b,TOI-5232,4.0966692,4.783,0.48,2459857.92806,12.778238,1.785,294.3374248,35.2764934,609.388,11.7791
TIC 70803960,K2-290 b,K2-290,9.21165,4.96,,2457994.7725,3.06,1.511,234.8578846,-20.1988975,272.909,10.3985
TIC 75878355,TOI-2134 b,TOI-2134,9.229198,2.995,0.1606,2459010.68937,2.735,0.709,271.9355015,39.0729269,22.6202,7.7945
TIC 82308728,HD 97658 b,HD 97658,9.4897116,2.8488,0.0712,2458904.9366,2.12,0.728,168.6376584,25.7105962,21.5618,6.9859
TIC 85266608,WASP-197 b,WASP-197,5.167228,5.9764524,0.3931,2456885.10428,14.44837612,2.112,160.6307133,28.1986255,483.675,10.8583
TIC 86130229,K2-352 b,K2-352,3.665912,1.63,,2458098.635282,1.37,0.95,140.4451478,18.469628,176.051,10.6699
TIC 99834717,KPS-1 b,KPS-1,1.706291,1.68,1.098,2457508.37019,11.54527,0.907,165.167198,64.9638452,262.706,12.212
